Day,Month,Year,Temperature,RH (Relative Humidity),WS (Wind Speed),Rain ,Result
1,6,2012,29,57,18,0,not fire   
2,6,2012,29,61,13,1.3,not fire   
3,6,2012,26,82,22,13.1,not fire   
4,6,2012,25,89,13,2.5,not fire   
5,6,2012,27,77,16,0,not fire   
6,6,2012,31,67,14,0,fire   
7,6,2012,33,54,13,0,fire   
8,6,2012,30,73,15,0,fire   
9,6,2012,25,88,13,0.2,not fire   
10,6,2012,28,79,12,0,not fire   
11,6,2012,31,65,14,0,fire   
12,6,2012,26,81,19,0,fire   
13,6,2012,27,84,21,1.2,not fire   
14,6,2012,30,78,20,0.5,not fire   
15,6,2012,28,80,17,3.1,not fire   
16,6,2012,29,89,13,0.7,not fire   
17,6,2012,30,89,16,0.6,not fire   
18,6,2012,31,78,14,0.3,not fire   
19,6,2012,31,55,16,0.1,not fire   
20,6,2012,30,80,16,0.4,not fire   
21,6,2012,30,78,14,0,fire   
22,6,2012,31,67,17,0.1,not fire   
23,6,2012,32,62,18,0.1,fire   
24,6,2012,32,66,17,0,fire   
25,6,2012,31,64,15,0,fire   
26,6,2012,31,64,18,0,fire   
27,6,2012,34,53,18,0,fire   
28,6,2012,32,55,14,0,fire   
29,6,2012,32,47,13,0.3,not fire   
30,6,2012,33,50,14,0,fire   
1,7,2012,29,68,19,1,not fire   
2,7,2012,27,75,19,1.2,not fire   
3,7,2012,32,76,20,0.7,not fire   
4,7,2012,33,78,17,0,not fire   
5,7,2012,33,66,14,0,fire   
6,7,2012,32,63,14,0,fire   
7,7,2012,35,64,18,0.2,not fire   
8,7,2012,33,68,19,0,fire   
9,7,2012,32,68,14,1.4,not fire   
10,7,2012,33,69,13,0.7,not fire   
11,7,2012,33,76,14,0,not fire   
12,7,2012,31,75,13,0.1,not fire   
13,7,2012,34,81,15,0,not fire   
14,7,2012,34,61,13,0.6,not fire   
15,7,2012,30,80,19,0.4,not fire   
16,7,2012,28,76,21,0,not fire   
17,7,2012,29,70,14,0,fire   
18,7,2012,31,68,14,0,fire   
19,7,2012,35,59,17,0,fire   
20,7,2012,33,65,15,0.1,fire   
21,7,2012,33,70,17,0,fire   
22,7,2012,28,79,18,0.1,not fire   
23,7,2012,27,66,22,0.4,not fire   
24,7,2012,28,78,16,0.1,not fire   
25,7,2012,31,65,18,0,fire   
26,7,2012,36,53,19,0,fire   
27,7,2012,36,48,13,0,fire   
28,7,2012,33,76,15,0,fire   
29,7,2012,32,73,15,0,fire   
30,7,2012,31,79,15,0,fire   
31,7,2012,35,64,17,0,fire   
1,8,2012,36,45,14,0,not fire   
2,8,2012,35,55,12,0.4,not fire   
